Freq Drug Use,stweight,sexpart,sexpart2,q9,q10,q11,q12,q17,q22,q33,q40,q41,q45,q46,q47,q48,q54,q60,q61,q62,q76,q78,qsportsdrink,q43_2.0,q43_5.0,q43_6.0,q43_7.0,q43_8.0,q65_3.0,q65_4.0,q66_2.0,q66_3.0,q66_4.0,q30_2.0,q34_2.0,q59_2.0,q63_2.0,q63_3.0,q64_2.0,q64_3.0
False,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,7.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,4.0,6.0,4.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,0.0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,3.0,2.0,5.0,3.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,3.0,3.0,0.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
True,0.0,0.0,0.0,1.0,2.0,7.0,1.0,1.0,2.0,2.0,6.0,5.0,0.0,7.0,5.0,6.0,1.0,4.0,6.0,4.0,1.0,8.0,3.0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
False,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
False,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,7.0,2.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
False,0.0,0.0,0.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,6.0,1.0,4.0,6.0,1.0,1.0,6.0,7.0,3.0,1.0,8.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
False,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,8.0,2.0,3.0,2.0,8.0,1.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,3.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0,3.0,1.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
True,0.0,0.0,0.0,5.0,6.0,8.0,5.0,0.0,6.0,7.0,7.0,2.0,0.0,7.0,2.0,6.0,6.0,2.0,7.0,8.0,7.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
True,0.0,0.0,0.0,1.0,6.0,2.0,5.0,0.0,1.0,5.0,7.0,2.0,0.0,7.0,4.0,5.0,6.0,2.0,7.0,7.0,7.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0,0.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
True,0.0,0.0,0.0,5.0,0.0,0.0,5.0,7.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
True,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
True,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,3.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,4.0,5.0,1.0,6.0,5.0,4.0,4.0,4.0,7.0,6.0,5.0,6.0,6.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,7.0,8.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0,7.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,1.0,3.0,8.0,1.0,1.0,2.0,1.0,6.0,5.0,5.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
True,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
False,0.0,0.0,0.0,3.0,1.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
False,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,6.0,2.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,6.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,4.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
False,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,3.0,3.0,3.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1
True,0.0,0.0,0.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0,3.0,2.0,3.0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
False,0.0,0.0,0.0,1.0,0.0,0.0,5.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
False,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
False,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,5.0,6.0,8.0,5.0,1.0,1.0,7.0,7.0,7.0,8.0,7.0,2.0,6.0,1.0,0.0,0.0,0.0,7.0,1.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,4.0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,6.0,2.0,7.0,5.0,6.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
False,0.0,0.0,0.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
True,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,6.0,0.0,7.0,5.0,6.0,5.0,6.0,3.0,3.0,3.0,7.0,3.0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0
False,0.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,0.0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,5.0,0.0,2.0,7.0,1.0,1.0,8.0,2.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
False,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
False,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
True,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,6.0,3.0,3.0,7.0,2.0,1.0,6.0,6.0,4.0,2.0,6.0,2.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0
True,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,8.0,2.0,3.0,2.0,5.0,1.0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1
True,0.0,0.0,0.0,1.0,2.0,2.0,5.0,3.0,3.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,7.0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
False,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,3.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,0.0,0.0,1.0,6.0,0.0,5.0,8.0,6.0,7.0,7.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,7.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
True,0.0,2.0,2.0,5.0,0.0,8.0,5.0,8.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,4.0,5.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
False,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,4.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
True,0.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0,1.0,7.0,5.0,4.0,7.0,5.0,4.0,4.0,7.0,2.0,3.0,2.0,8.0,3.0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0
False,0.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,7.0,2.0,3.0,2.0,2.0,2.0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
False,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
False,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
True,0.0,2.0,2.0,5.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,7.0,5.0,6.0,2.0,6.0,7.0,3.0,5.0,4.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
False,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,4.0,0.0,7.0,2.0,6.0,1.0,6.0,7.0,8.0,5.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
False,0.0,2.0,2.0,5.0,0.0,0.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,6.0,6.0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
True,0.0,4.0,3.0,5.0,6.0,8.0,5.0,8.0,6.0,7.0,7.0,0.0,8.0,7.0,2.0,6.0,6.0,2.0,7.0,8.0,7.0,8.0,7.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
